step,event,collected,total,x,y
1,1,1568,4677,0.003024364938903061,-0.09627743692602041
2,2,8271,23708,-0.0028621134403226936,-0.09432864892999639
3,3,2531,7436,0.005798113208297115,-0.09753742828921375
4,4,1901,5543,-0.003912853632756444,-0.10215648095739084
5,5,4180,12383,0.0020722833794736845,-0.10226872136363636
6,6,2035,5488,-0.0015073615235380836,-0.09210481621621622
7,7,14252,42465,-0.0015444617232389139,-0.10078809620088408
8,8,8901,26525,0.003817693567282665,-0.10190083160319065
9,9,15263,44812,-0.002078380831210509,-0.09891515614885671
10,10,6255,18259,-0.00889719401126299,-0.1026895876578737
11,11,6921,20508,-0.0004176257966444155,-0.10198650218176564
12,12,6425,17959,-0.003946508802538521,-0.09725580094941634
13,13,8709,24879,0.0023440158500562633,-0.1035842152026639
14,14,6058,17377,0.003310504045597557,-0.0917455974248927
15,15,2834,7634,-0.0002600889623323924,-0.10136135366972478
16,16,4564,13905,0.0046014624696077994,-0.10575253536371604
17,17,2136,6076,-0.00138731131207397,-0.10016305458801499
18,18,1359,3863,-0.007000450812509197,-0.10123764900662252
19,19,9509,28062,0.003663967857051951,-0.1017149178010306
20,20,1879,5394,0.0030523257356977113,-0.09552043618946247
21,21,1648,4623,0.013203223302190533,-0.09789087336165048
22,22,4849,14710,-0.0035238478692555166,-0.10614829170963085
23,23,3320,9486,-0.000595878209879518,-0.10283528209638554
24,24,6022,17571,-0.00015915031278312857,-0.09957855835270675
25,25,5301,15122,-0.004936472826657235,-0.10108207079796265
26,26,4821,13282,0.0014454199094026134,-0.10047654723086497
27,27,7120,20502,-0.0017042199986264045,-0.10063770261235955
28,28,5605,15723,-0.003924834409170384,-0.09830971371989294
29,29,49285,144714,0.002729388203046343,-0.09709313891224511
30,30,17033,48941,-0.0010928277658943228,-0.0987242702166383
31,31,3783,10493,0.008202175916732751,-0.10118801549035158
32,32,4331,12262,0.0040371306979866085,-0.09585753835142
33,33,5060,14154,0.0019304027144367588,-0.09726483108695652
34,34,15066,44403,0.0022014099453343955,-0.10056800706956061
35,35,4558,12846,-0.005824692523841597,-0.09336560829311101
36,36,2634,7673,-0.007767802869931663,-0.09817287129840546
