step,event,collected,total,x,y
1,1,5960,17377,0.00471008929847651,-0.09897009832214766
2,2,4777,13547,-0.004160382712696253,-0.10188670638476031
3,3,2744,7987,0.00021636174613702625,-0.09906251322886298
4,4,5857,16807,0.0004410504657452621,-0.09729057647601161
5,5,5384,15475,0.00040207259041790484,-0.09737112087667162
6,6,6994,20063,0.001653952204592508,-0.09671079511009437
7,7,1327,3949,-0.005442591234679728,-0.10159998100979653
8,8,6888,20143,-0.006534903656340012,-0.09949904082462253
9,9,7566,22162,-0.007003289598227597,-0.1005504594898229
10,10,9646,27834,0.0011679004614967862,-0.09726028210657267
11,11,8399,24527,0.00383894381574116,-0.10223467930706036
12,12,7560,22523,-0.0021354583468174604,-0.0918103019047619
13,13,9374,27574,-0.004005404029167911,-0.10237667861105185
14,14,6088,17443,0.002134835629936268,-0.09760460614323259
15,15,3522,10311,0.007390693138875639,-0.10317418768881317
16,16,2433,7056,0.005954249725729552,-0.09026151454993836
17,17,2810,8527,0.006721019268241993,-0.1025252778291815
18,18,3463,10560,-0.005858072700288767,-0.09598029775916835
19,19,16511,48140,-0.0031260056687087397,-0.10283766157107382
20,20,14077,40222,-0.0010652825999667784,-0.09869242762662499
21,21,9014,25280,-0.0027834289896449967,-0.09712673054138007
22,22,4195,12632,-0.0022540259324982125,-0.09335048245530393
23,23,2300,6610,-0.006796772652808696,-0.09613619691304348
24,24,1991,5762,-0.0007611942102963335,-0.09906896730286288
25,25,3997,12105,0.0014011863019714786,-0.10246170943207406
26,26,24957,73714,-0.001999478806758665,-0.10081181048803943
27,27,9940,29198,0.004463644812717706,-0.10202939448692153
28,28,2562,7095,-0.006578686787396566,-0.09491747330210773
29,29,2765,8377,0.003318011200072333,-0.1057014830018083
30,30,8595,24485,0.0006848263176172192,-0.09598905944153577
31,31,10927,31665,-0.0011265452698343552,-0.10072053603916903
32,32,1594,4506,0.0037107251274153073,-0.09181363764115433
33,33,8206,23369,0.0035817763606641483,-0.09534887980745796
34,34,4492,13403,0.004586550630164737,-0.10583115592163846
35,35,9247,26935,0.0006326976549300313,-0.09888598769330595
36,36,9948,29460,-0.002701517082282871,-0.0943537497486932
37,37,11201,32356,0.0025370753689571467,-0.10348059973216678
38,38,6486,18871,-0.00020599538246068454,-0.09790959372494604
39,39,5023,14593,-0.004658777894487358,-0.09961895024885527
40,40,25303,74098,-0.0006574587117823974,-0.09685523254159586
41,41,4189,11968,0.004538033562873478,-0.09242286299832896
42,42,7324,20962,0.004039047129142545,-0.09879979602676134
43,43,1291,3594,-0.0012244053996901625,-0.10156691959721145
44,44,10071,29529,0.0009458542033730514,-0.09605217533512064
45,45,6128,17571,-0.005839535764104112,-0.10257598139686684
46,46,21312,61940,0.0031835511125134666,-0.09448086351116741
47,47,7682,22811,4.1163292745378786e-05,-0.10043311219734444
48,48,6045,17902,0.009873032578304384,-0.09436006067824648
49,49,11159,32635,0.0004528167891879201,-0.10498859963258356
50,50,13416,38875,-0.0003861251164171213,-0.09643879921735242
51,51,2752,7709,-0.0037542715070094474,-0.10337434476744187
52,52,20651,60927,0.0005676332428400562,-0.09306196933058933
53,53,3137,9497,-0.003527616887950271,-0.0846814142684093
54,54,3441,10005,-0.001874085879450741,-0.09528225271723335
55,55,553,1585,0.004002622810669078,-0.10116806311030742
56,56,5242,15064,-0.0035701100266501335,-0.1002631393704693
57,57,7807,22304,-0.0005342215164877675,-0.09716242075060844
58,58,948,2987,0.0075711145808016874,-0.11661626339662447
59,59,4694,13512,0.0024882666181544524,-0.09834671120579463
60,60,1981,6193,-2.439811872791515e-05,-0.10155206728924786
61,61,1069,3168,-0.0013136691345930775,-0.09852151917680074
62,62,8872,25467,-0.0009371043422339946,-0.09042605619927863
63,63,2479,7270,-0.005410298249673255,-0.08631395094796289
64,64,6203,17889,-0.004316757237841367,-0.0969997119619539
65,65,17753,52098,0.0004958011460138567,-0.09793942230045627
66,66,5031,14800,0.0006252301735957066,-0.1011045202941761
67,67,3124,8890,0.008292719686917414,-0.10612611494878361
68,68,2779,8091,-0.0003067900990032386,-0.09509806038143218
69,69,2519,6726,0.004493925001456928,-0.08628927260817786
70,70,18893,54842,0.002744180832640502,-0.09917214326999417
71,71,1422,4068,0.003096171178691983,-0.08765230520393812
72,72,13097,37144,-0.010247127966166298,-0.09360603141788197
73,73,3896,11476,-0.000952501797209959,-0.09545855228439425
74,74,9325,29391,0.0011571943143485256,-0.10167885065630027
75,75,13111,39239,0.0035892405703288844,-0.10051902002898329
76,76,4449,12682,0.004718030509867386,-0.1023856704652731
77,77,1513,4389,-0.001668988655849306,-0.1005576940515532
78,78,1812,5554,0.0008534597068432672,-0.09988651302428256
79,79,6371,18480,-0.00031903009711662224,-0.09868224835975514
80,80,10720,31647,-0.0005820490389356343,-0.09663941819402985
81,81,65831,194033,0.034386234283056934,-0.01236344056661436
82,82,2359,6610,-0.0064832014377278506,-0.09801226248410344
83,83,3958,11384,-0.0006524659780192016,-0.09023765255164225
84,84,3414,9355,-0.002329289857644991,-0.09105913857644991
85,85,10547,30279,0.004458305881672514,-0.10025220268322745
86,86,2151,6321,0.007627650987275686,-0.10731932552301256
87,87,3957,11230,-0.0009731035090674754,-0.10185897438210766
88,88,2622,7825,-0.003861467490541571,-0.0927906649122807
89,89,5652,16517,0.0023491534957289454,-0.10006018020169852
90,90,21527,63502,0.0038563792700277324,-0.09640548598968737
91,91,10629,31453,-0.0068945008821574,-0.09667267789067646
92,92,12321,35680,0.003412159450756432,-0.09669707483158835
93,93,8151,24511,0.00170288153455895,-0.10040883256042203
94,94,3141,9093,0.007771053778038841,-0.0985439476281439
95,95,1615,4775,0.0034460709106068107,-0.08029533767182663
96,96,8918,26262,0.0009548189358181206,-0.09363407743888764
97,97,2888,8553,0.00223081758199446,-0.10118452655817174
98,98,6754,19039,-0.005128777205647024,-0.09476831400651466
99,99,4817,13786,-0.001582490687527507,-0.09824636601204069
100,100,8202,23343,-0.007538937134351378,-0.10129729675688856
