step,event,collected,total,x,y
1,1,4603,13378,0.0030639214510753856,0.10030741503367369
2,2,3805,11457,0.010930877890157687,0.09529746948751643
3,3,14989,43504,0.0017299479147494829,0.10294651790646475
4,4,4005,12348,0.0013561281811485643,0.10191930372034956
5,5,6146,18504,0.0002627918035632932,0.09941118957045232
6,6,10820,34779,0.05544428410724584,0.11410375495378927
7,7,6546,18671,0.0032215755592560342,0.09786710148182097
8,8,4085,12113,-0.002881131171519951,0.09804245373317014
9,9,2424,7059,0.0018800667621039603,0.08926425028052805
10,10,8433,24526,0.002259477094097,0.09948671713506463
11,11,2863,8488,0.00032602416363255326,0.09342333419490045
12,12,14918,43405,0.0035518917651763643,0.10051468572060598
13,13,5078,14787,-0.0006632275996652226,0.09923190531705396
14,14,7589,21275,0.0018946378286854657,0.09272032952958228
15,15,4797,14079,-0.0023621239808067542,0.10507745761934544
16,16,3763,10878,0.00873428760393303,0.09703065843741696
17,17,1537,4496,0.0015144507408913468,0.11164178080676644
18,18,17719,50935,0.0010702973760641685,0.0974987473474801
19,19,4873,14889,-0.0010698281657397907,0.10450023359326903
20,20,1197,3360,0.0014465274565580617,0.10108858888888889
21,21,4325,11990,-0.0032802921398265897,0.09343693368786127
22,22,4356,12985,0.005770844163188705,0.09453793032598715
23,23,10391,30756,-0.0020682775233115194,0.10268580281974786
24,24,11031,32372,-0.0003524966425364881,0.09877049783337866
25,25,9404,27331,-0.0039642223136654615,0.10122143028498512
26,26,9800,28588,-0.0031948573083959183,0.09748635394795918
27,27,9860,29024,0.0025413532202778906,0.09783678972616633
28,28,12367,36576,0.0019537560562974043,0.10275052550335571
29,29,3409,9963,-0.002948096096995013,0.1009609561161631
30,30,3477,10494,-0.009006339231993097,0.09658002749496693
31,31,4477,13744,-0.002813434215747152,0.09907248425284788
32,32,7723,22850,0.0034006042652363075,0.09124175795027839
33,33,19469,56137,0.0007327508048672248,0.09941683647079973
34,34,3243,9297,-0.00023924809601911815,0.09249999472710453
35,35,5839,17210,0.0016172436091128617,0.09864470323685562
36,36,2949,8748,0.010621912538149541,0.1009782030857918
37,37,12568,36469,0.005666675868971197,0.09784860061266709
38,38,3573,10476,-3.173538267562279e-05,0.09992100055975371
39,39,2969,8585,0.0013314923233647693,0.0974730117547996
40,40,5017,14670,-0.005263485478345625,0.09691552798485151
41,41,2249,6312,-0.003803776021253891,0.0912140556691863
42,42,5067,15377,0.0006816794940043418,0.10263319755279258
43,43,5014,14114,-0.0037307281077243715,0.09454918741523734
44,44,4106,11494,-0.0009126392208889429,0.09715260854846566
45,45,4834,13619,-0.0032563998067232105,0.10039898419528341
46,46,2303,6849,0.0024613551719787235,0.10091106335214937
47,47,2212,6312,-0.0013100708396609404,0.1001810605334539
48,48,14816,43828,-0.0027590463999857587,0.09750052367035637
49,49,1310,3823,0.005764673775725191,0.1017869975572519
50,50,6935,20391,-0.00018121670038211967,0.09988709315068493
51,51,8613,25631,-0.00307633607300476,0.09654401917334263
52,52,2261,6655,-0.002800429957722247,0.0996674490048651
53,53,23719,69737,-0.0035742614842012733,0.09926964202959652
54,54,2167,6136,-0.0020051166534379326,0.09354746566220581
55,55,5099,14517,0.005834676331266915,0.09945297111198274
56,56,7700,22654,0.004681625200127273,0.09939126028571428
57,57,15740,44754,-0.0022625269051562897,0.09141196199491741
58,58,1197,3509,0.0059702529870509615,0.09797705246449456
59,59,9980,30521,0.00035533808885571144,0.10228371551102206
60,60,38221,115616,0.001915413078353523,0.10509091272337197
61,61,4219,12161,0.0026992100929272337,0.0953989809196492
62,62,8315,24464,-0.005565094697392663,0.0983490732651834
63,63,7471,21283,0.006823502563816089,0.09968378637397939
64,64,5032,14644,-9.841184255961846e-05,0.09782091840222576
65,65,18581,53985,0.00039516041898014103,0.10199346894677358
66,66,3560,10634,-0.0007839395717696629,0.09930735766853933
67,67,4810,14216,-0.001371120327904366,0.0979567118087318
68,68,4526,13195,-0.002575775789024304,0.09660137567388423
69,69,3181,9314,0.0010364892767054385,0.10243916196164728
70,70,5264,15214,0.003574931690243161,0.10146501223404256
71,71,3178,9811,0.0008702950559471366,0.10492235633417243
72,72,5760,16779,-0.002559210247267361,0.10096568817708335
73,73,3179,9025,-0.009008642848518402,0.09901597442592011
74,74,2690,7782,-0.003881843550312268,0.10308986970260224
75,75,5302,15530,0.001996105345741041,0.0981743864390796
76,76,3290,9934,-0.0019271651378115501,0.09894012434650455
77,77,2079,6557,0.0014553964138095238,0.10314508172198172
78,78,3203,9707,-0.0029762275679987515,0.09939724311582891
79,79,10062,29960,-0.0042646147603925665,0.10021045268336315
80,80,4131,12305,-0.004145137758949407,0.09974766046961994
81,81,4592,14124,-0.002036615947778746,0.09650729475174216
82,82,1973,5826,-0.003159619029964521,0.09611107531677648
83,83,1455,4455,-0.001633647278368385,0.10199381649484536
84,84,4814,13451,-0.009426478187503324,0.10119316952638138
85,85,6373,18331,0.0035840657620900677,0.10138147341911188
86,86,2818,8149,0.0027100489579808375,0.09730807789212206
87,87,8675,25529,0.000936754313771758,0.09709540999423631
88,88,946,2624,-0.0034875398662790697,0.09555817885835095
89,89,3028,8669,0.004008425142965654,0.0967089537648613
90,90,7900,22437,-0.003189211593644304,0.10006376524050632
91,91,3092,9099,0.005959950391720569,0.09941944928848642
92,92,1391,4265,0.0037218942406326383,0.09159913587347232
93,93,14740,42490,0.0027239338671115336,0.10013415203527816
94,94,5867,16799,0.0009665839178847793,0.09416689040395432
95,95,5304,15149,-0.003989044485030166,0.09732112569758672
96,96,76314,255595,-0.09775299041352283,0.0989224457913882
97,97,9881,28985,0.001152863026611679,0.10055971997773505
98,98,10186,30412,0.00501757976944139,0.09799567920086394
99,99,4211,12172,-0.00635053264959392,0.09568336331037759
100,100,13717,39876,-0.00019485065017715245,0.09918573658234307
