step,event,collected,total,x,y
1,1,32711,94645,-0.05353411181789001,-0.005203816369545719
2,2,8990,25847,-0.05095350193596218,0.0031167469186153506
3,3,4127,11618,-0.04496487939437849,0.0025450080055197484
4,4,2607,7412,-0.06101019806405831,-0.004638915563636364
5,5,15901,45631,-0.04485591762640086,-0.0008155081102300484
6,6,3681,10468,-0.047210922432762835,-0.0010850751014398262
7,7,5004,14302,-0.05120648029336531,0.0012599084320083932
8,8,6042,18025,-0.04624269489487587,0.003095620648488911
9,9,4096,11904,-0.049952866424560545,-0.0009810752103759765
10,10,7825,22840,-0.05512580575961661,-0.0011135137450044728
11,11,4578,12832,-0.0442382856116208,0.0015704221930493666
12,12,9037,26072,-0.04485958914846852,-0.0014471048353358416
13,13,5940,17133,-0.04269633442267677,0.0044380570444814815
14,14,3591,10064,-0.04257839557554999,0.0030188037200779725
15,15,3357,9910,-0.04408736060351504,0.0004513643809859994
16,16,7900,23159,-0.04948683452156962,-0.003879246078385696
17,17,10389,29471,-0.050371040091818274,0.0038259617836442395
18,18,3610,10832,-0.04905898979468144,-0.00810447287733795
19,19,7865,22867,-0.04423498576291036,0.004571177215253655
20,20,3609,10339,-0.04525738804350235,-0.004184401125985037
21,21,5213,15087,-0.05128243845000959,0.005626490541993094
22,22,5315,15189,-0.05368724144015052,-0.0046467714982107245
23,23,2927,8393,-0.04993392033276393,-0.005578872325555177
24,24,9392,27000,-0.051367309647572405,0.004209091345715502
25,25,7986,23208,-0.04965903813101678,0.0008388917429128475
26,26,12982,38289,-0.05272350174763519,-0.0028284281561053765
27,27,5592,15985,-0.04382109487254829,0.002030543343651645
28,28,7286,21962,-0.05061991707405984,0.0007893862827998903
29,29,9631,28557,-0.04831582276248468,-0.0052849569002553
30,30,10902,32052,-0.04524832595917263,-0.0017287158885288937
31,31,2849,7579,-0.06175778304668305,-0.0012826916977184979
32,32,76856,222943,-0.04868493456608762,0.005245667296852868
33,33,4158,12166,-0.05096950148742184,-0.0008727247904473304
34,34,6557,18596,-0.04600745203050175,0.0026726235340573433
35,35,3578,10545,-0.052480213972330915,0.0012291603697177195
36,36,59864,171235,-0.0370712396467194,0.0067703668957968055
37,37,4029,11628,-0.05393011237875404,-0.00016540487162149418
38,38,1467,4365,-0.04754631684751193,-0.005271792634355828
39,39,2083,6152,-0.04215140970091214,0.00015025188886221797
40,40,3803,10828,-0.05276577170796739,-0.0066456165751564555
41,41,2527,6994,-0.05123006602967946,-0.001487251776398892
42,42,7162,19717,-0.04488800702877688,0.016207580635199663
43,43,2422,6861,-0.06000167687159372,0.005151743791527663
44,44,22405,63916,-0.049816539590569066,0.003187892656732024
45,45,7083,20050,-0.04589028133020711,-0.0017977152460251305
46,46,8534,25070,-0.05185143532003867,-0.00011592296962854466
47,47,9613,26943,-0.054095126212753565,-0.00039060671956621244
48,48,3899,11551,-0.04930281506642729,-0.003942174235214158
49,49,2080,6049,-0.051352579910240385,0.005720702293557692
50,50,6171,17862,-0.05274248253809755,0.0063766422476567814
51,51,137772,393280,-0.03855577418059381,0.04626661595639848
52,52,5577,15578,-0.05023428203388919,-0.003208698036693563
53,53,11682,34169,-0.051026709540849174,0.00019400307847897619
54,54,5438,15994,-0.05057716326186098,0.0030699261248105917
55,55,6853,19479,-0.04892140826905005,0.002997574472419378
56,56,4130,11052,-0.05447086799588378,-0.0011825810351089587
57,57,3530,10057,-0.04904765897093485,0.005431568327951841
58,58,6549,18661,-0.049433497271232245,0.0008731618269277752
59,59,6786,19621,-0.05000393706503095,0.0016101130946706453
60,60,3246,9664,-0.050288222398644486,-0.001440618737486137
61,61,1368,4375,-0.04888385887894737,-0.0005491455703070176
62,62,11393,32376,-0.05479538892435355,-0.0046193932073111555
63,63,4611,13340,-0.04600074327783561,-0.0009653076398698764
64,64,2470,7518,-0.04421673371789474,0.0045794017884291495
65,65,1715,4949,-0.051023634279766764,0.0014083464091720116
66,66,7664,21271,-0.049557343632724425,0.0023561689516805847
67,67,6462,19232,-0.0474728700539771,-0.0011874015199736924
68,68,2642,8228,-0.03902027664155942,0.011282101708716881
69,69,15262,44579,-0.04543137947095597,0.0005078678941272442
70,70,10738,29782,-0.04903765179057459,-0.0017642456984261503
71,71,15474,44456,-0.048601345222437635,-0.0009943634261787514
72,72,3393,9600,-0.05028861184512231,0.003019893077589154
73,73,7340,20426,-0.057678409816212535,-0.0027161119456851498
74,74,5243,15805,-0.05271846095041007,0.004077718283848942
75,75,1380,3995,-0.05672167792246377,0.0034449976642463766
76,76,3258,8953,-0.053983310542664205,-0.0039781042994782075
77,77,4286,11969,-0.0441098770054363,0.005241825235149323
78,78,13627,39039,-0.05069675179068027,-0.0014278808784899096
79,79,8049,22889,-0.05274067792488508,-0.004369147697468008
80,80,5740,16738,-0.05026768999912544,0.0018771290197365854
