step,event,collected,total,x,y
1,1,2847,9116,0.1213262291886196,-0.013066199913112047
2,2,881,3714,0.12700828694665153,-0.0034912883604994328
3,3,1158,3893,0.12241958298791018,-0.006777399184749568
4,4,7071,24750,0.12162858363739217,0.0035187772417041435
5,5,1621,5467,0.12198291289327576,0.008652105478871068
6,6,6272,23334,0.12397316707589287,0.0009758162914381377
7,7,2782,10893,0.12385880895039539,-0.004268313582796549
8,8,4424,14803,0.11676932787070525,-0.003147025266385398
9,9,3118,10910,0.12294426597177678,-0.006582742352876844
10,10,2922,11163,0.12225827826830937,0.003879633064476386
11,11,2109,7820,0.12273461076339498,-0.005168427414509246
12,12,490,1735,0.12236541346938776,0.003917491697346939
13,13,2651,10176,0.12290301127876274,0.0033013186849822334
14,14,6288,22158,0.12167398530534351,-0.0035529330048489184
15,15,3776,14090,0.12292597672139831,0.00047180393705508475
16,16,3428,11748,0.11945061826137689,-0.003819986442648775
17,17,624,2083,0.12491575657051282,-0.013282618244230769
18,18,2120,7338,0.12411212528301888,-0.001356051540716981
19,19,2003,7031,0.12279090708936595,-0.000515046739091363
20,20,1663,6378,0.12542086205652436,-0.0034333062417919425
21,21,1398,4690,0.12217094706723891,-0.00286509721888412
22,22,4481,15225,0.12256409455478687,-0.0026102908060633787
23,23,989,3534,0.12270747795753285,0.001895873212214358
24,24,1086,3726,0.1225956884898711,0.007580092054521179
25,25,2537,9377,0.12181861170674024,-0.00291495737147024
26,26,2320,8068,0.12189291879310345,0.0014584730734482757
27,27,2651,9536,0.12135766423990947,-0.000647544674979253
28,28,753,2765,0.12304450889774236,-0.0034213353088977426
29,29,421,1541,0.12547111116389548,0.0012811422916864609
30,30,4807,16884,0.12252826596629914,0.004065210619721239
31,31,2531,9178,0.12316003358356381,0.0017648351428289214
32,32,521,2042,0.12236111823416507,-0.0030279303804222647
33,33,1780,6383,0.12386434853932585,0.003376081307921348
34,34,840,3076,0.12151053357142858,0.002769504321190476
35,35,4315,15729,0.12409482484356894,-0.0003406374827578216
36,36,3742,12387,0.12287014786210582,0.0024589974392870122
37,37,3897,13749,0.12135378999230177,-0.0008604971559225044
38,38,3026,11433,0.12317305,-0.0019650207094348976
39,39,916,3467,0.12336058886462882,0.001544696754257642
40,40,1328,4904,0.12190378313253013,0.000601876046498494
41,41,2553,8742,0.12161514782608696,-0.002451466170058754
42,42,1358,4432,0.12103478659793813,-0.0036620040073195876
43,43,1505,5353,0.12104334903654485,0.00045261402956810626
44,44,1427,5216,0.12231476594253679,0.007430245338051858
45,45,3062,11406,0.1208714933050294,-0.0029665944748301764
46,46,1649,6341,0.1263513772589448,-0.0020951514341964825
47,47,4892,17822,0.12146963814390842,-7.406785394317256e-05
48,48,827,3176,0.12537254486094318,-0.000274153753808948
49,49,2760,10429,0.12480568952898549,-0.005816289100507246
50,50,2048,7152,0.11889385229492187,-0.003316471586567383
51,51,4558,15316,0.12236105855638438,-0.00408764952643484
52,52,5694,19984,0.12020045361784334,-0.0024378568038373725
53,53,3892,13903,0.12376521343782117,-0.0016855144564311406
54,54,3993,13232,0.12086439451540194,-0.0014681533787252693
55,55,1331,4982,0.12427331081893313,-0.0064389806731780614
56,56,2214,8005,0.12139250343270098,-0.0009319076753839206
57,57,563,2242,0.12591477655417407,0.0008356793344582594
58,58,3406,11711,0.11987016180270112,-0.01122126959994128
59,59,2363,8267,0.12231656301311891,-0.0009382344903639441
60,60,1660,6117,0.12267511006024097,-0.00832742422006024
61,61,3118,11159,0.12351468348300192,0.003911875964660038
62,62,7417,26309,0.12069155961979237,0.0033538642375022247
63,63,4973,18434,0.1212174688719083,0.0006732131929599839
64,64,3135,11386,0.12439640296650717,-0.0023650535228995216
65,65,4503,15789,0.1220359821452365,0.0038403952855982676
66,66,4240,16377,0.12386206617924529,0.0019407668964386794
67,67,5887,19364,0.11962564370647188,-0.002014959138188211
68,68,4360,15412,0.12253443908256882,-0.004638150854139908
69,69,4438,15744,0.12003850989184318,-0.005900450860038305
70,70,4295,15447,0.12174712563445868,-0.0038569780315436553
71,71,2558,10102,0.12093093565285379,0.000425095966567631
72,72,2052,7585,0.12494579985380118,0.00282930953628655
73,73,1493,5269,0.12273411091761553,-0.011264469176222371
74,74,4343,15291,0.12008039166474788,0.0001910398359889477
75,75,562,2088,0.1250771955516014,-0.0041817289562099645
76,76,365,1398,0.12730377561643835,-0.0005192606783561645
77,77,1763,6463,0.12112701247872944,-0.009240776099960296
78,78,1330,4950,0.12256708406015038,0.0011165300692481204
79,79,2031,7109,0.12484991004431314,-0.004415298731772526
80,80,2059,6981,0.12263059072365226,0.001872849967498786
81,81,2440,9238,0.12054365225409835,-9.197499877049166e-06
82,82,1196,4040,0.12441882056856189,-0.0009821328808528428
83,83,1221,4023,0.12463470163800164,-0.002685318254774775
84,84,5434,17979,0.11876685793154214,0.0007383124208115568
85,85,5421,20232,0.1229321255856853,-0.0018438117947755027
86,86,2600,9167,0.1185253201923077,-0.008521487985423076
87,87,768,2875,0.12267687096354167,0.00801688801328125
88,88,4430,15986,0.1217755858690745,-0.00017813805773589164
89,89,622,2550,0.12521797909967844,-0.0024076007991961413
90,90,2448,8634,0.12310943472222222,-0.00796782737879902
91,91,2178,7451,0.120334895087236,0.009553343416193755
92,92,1259,4641,0.12314335837966642,0.0039046166976171564
93,93,2165,7428,0.11687908863741339,-0.0016301994681284064
94,94,468,1544,0.12712933824786324,0.023942180641025643
95,95,3996,13834,0.12142710337837838,-0.001393396423048048
96,96,2344,8798,0.1212873034982935,-6.157972444539255e-05
97,97,2987,11031,0.12268028965517241,0.001484571419736592
98,98,1223,4524,0.12370404677023712,0.0012871891411283729
99,99,11331,39930,0.12138247205012796,-0.003230891619653164
100,100,977,3518,0.1241429031729785,0.0024649126674513816
