step,event,collected,total,x,y
1,1,1120,3624,-0.0005141191152678572,-2.252225232142857
2,2,4044,11004,-0.00031185098550939665,-2.254068046488625
3,3,1586,4313,-0.009505656696809583,-2.25322552332913
4,4,8425,24540,-0.002830245611385163,-2.257666493768546
5,5,6245,17794,0.004981654999316253,-2.2602877678142512
6,6,8430,23994,0.0024920985329537366,-2.2568621423487545
7,7,2466,6682,0.002482473782400649,-2.2619580575831306
8,8,13806,39860,0.0025692180423779517,-2.259547779950746
9,9,8608,24510,0.0023705131264161244,-2.2661933236524163
10,10,14454,41800,0.000833533704238965,-2.2569266258475165
11,11,4060,11594,0.0029989349194334976,-2.2705102142857143
12,12,6200,18150,-0.003191984843485484,-2.270504606451613
13,13,12585,35937,0.002239562486979738,-2.2587873476360745
14,14,4377,12644,0.0037298754188485263,-2.262428658898789
15,15,10119,29570,-0.0006385532395740685,-2.255529954540963
16,16,1915,5398,-0.006155618069295039,-2.2593559216710184
17,17,6667,19256,-0.000659400898960552,-2.2636621688915555
18,18,90787,260677,0.036493198115368955,-2.266591042880589
19,19,6280,18424,-0.001746181181597134,-2.255356552547771
20,20,6613,18072,0.006259388814247695,-2.2614557840616967
21,21,10280,29390,-0.001398936004245136,-2.26231984922179
22,22,6972,20425,-0.0013079765797848536,-2.2590219061962133
23,23,3183,9220,0.0028414001729186304,-2.265909145460258
24,24,11649,33023,-0.0009761438815742125,-2.2595145600480726
25,25,3362,9230,-0.007337218272608566,-2.2566358417608567
26,26,12298,34272,0.0020820063182013333,-2.2584274751992193
27,27,12929,37717,-0.039759870950938206,-2.2485149493386962
28,28,18530,53724,0.0036616475903225583,-2.256923167296276
29,29,3100,8510,0.0015975442170290321,-2.265457877419355
30,30,3921,11342,-0.0014746189715633766,-2.259755396582505
31,31,6480,18264,0.0054570966305370365,-2.261971936728395
32,32,3049,8549,0.006443696004936045,-2.2626164775336175
33,33,9346,26698,-0.00023980473476139526,-2.2582669270276052
