step,event,collected,total,x,y
1,1,6551,18591,0.006039942057588154,-1.2492360006105938
2,2,2208,6004,-1.3197009465579653e-05,-1.256031625905797
3,3,4262,12000,-0.0025170957663749414,-1.2573035734396998
4,4,15607,45401,-0.0047880862759985265,-1.253634483885436
5,5,4234,12453,0.004131561920106283,-1.2546554463863957
6,6,3945,11004,-0.0022732067214195186,-1.2605564182509505
7,7,7011,20153,0.004224098593327628,-1.2553500599058622
8,8,13745,39600,0.000773157407420953,-1.2534910971262279
9,9,6894,20223,-0.0034556449407223675,-1.2560236510008704
10,10,5355,15271,-0.00018525611202427635,-1.25338997945845
11,11,17208,48609,-0.0005540850644420619,-1.256753369363087
12,12,2864,8242,0.005761237591571228,-1.2560023009776538
13,13,5341,15592,-0.012145560348988952,-1.2619928253136117
14,14,3343,9459,-0.0026052278893508828,-1.2600962907568054
15,15,4329,12422,0.0027763444207507507,-1.2518470316470316
16,16,6762,19379,-0.004758206443463473,-1.2526582017154686
17,17,7736,22460,-0.005081459405929421,-1.2543145320579112
18,18,10601,30353,-0.004113102784484482,-1.258644873125177
19,19,4312,12160,0.005750327439703154,-1.247848991187384
20,20,5603,15699,-0.0018737043671390324,-1.2500325789755489
21,21,13410,38681,-0.002677592029216928,-1.2534280738255035
22,22,4112,11623,0.0032671680227140077,-1.2553963229571985
23,23,14415,41329,0.0007370970844363511,-1.2572626264308013
24,24,6058,17187,0.0019972097350940904,-1.2531229844833278
25,25,5600,15816,-0.00255307901945,-1.2589256035714285
26,26,7772,21683,0.002704537481330417,-1.2572394981986619
27,27,2799,7386,0.006254146113933548,-1.2566664308681672
28,28,1333,3997,0.0006966780955738935,-1.251540622655664
29,29,8410,24646,0.001121274756820452,-1.2496903495838287
30,30,6271,18065,0.0002915821883415723,-1.2540610971136978
31,31,7847,22996,0.0008304034157608003,-1.2554608895119155
32,32,19152,55243,-0.018072164035325865,-1.2532484810985798
33,33,2637,7463,0.005743322365915814,-1.25862721653394
34,34,6448,18344,0.001118023600173077,-1.254381808312655
35,35,4321,12013,0.0016305031475885212,-1.257501388567461
36,36,3661,9913,-0.0013383683495493035,-1.254228727123737
37,37,6667,19410,7.420687515089247e-05,-1.2544600374981252
38,38,9879,28600,0.003817550548366231,-1.2580691547727503
39,39,2275,6203,-0.0008709928749450549,-1.2542256395604396
40,40,6847,20095,0.0047391889563677524,-1.2559325295749963
41,41,6534,18731,0.005798367042539027,-1.2584860958065505
42,42,3233,9008,0.001428998740785648,-1.2447912681719766
43,43,5920,16584,-0.001239116266554223,-1.2543321030405405
44,44,7294,19977,-0.0001689541739960241,-1.2536250904853303
45,45,5123,14521,0.0036217401259457348,-1.2548825239117705
46,46,2496,7429,-0.003492101844711538,-1.2503314663461538
47,47,4399,12179,0.0016907332699499886,-1.2545423391679926
48,48,16540,47555,0.00026770848032992744,-1.2537416070133012
49,49,385,988,-0.010987826893506494,-1.2583887532467533
50,50,4344,12842,-8.092702537983424e-05,-1.2490584254143646
51,51,3672,10214,-0.005234102619632353,-1.25571230664488
52,52,10027,29334,-0.0029509062158821183,-1.254510103719956
53,53,4518,13308,-6.31205862040726e-05,-1.2582034218680833
54,54,3958,11409,-0.004675161988582617,-1.2555846462860032
55,55,7274,20462,0.0028467902816304647,-1.252724802034644
56,56,1950,5746,-0.0027174480292051282,-1.2582788
57,57,10200,29768,-0.0033756352956578434,-1.2530603607843136
58,58,883,2590,0.002171312840385051,-1.2483044054360135
59,59,29641,84924,0.0020771912676426233,-1.2555554009648797
60,60,12939,36852,-0.002313719118873174,-1.2591588615812659
61,61,3745,11179,-0.0030876078512293726,-1.2538902002670227
62,62,10321,29325,0.0024684820989487456,-1.257052097664955
63,63,7888,21724,-0.0035826784478955372,-1.255841787525355
64,64,3914,10400,-0.004098055804532448,-1.2615159325498213
65,65,2606,7650,-0.003277607862751343,-1.2595310437452034
66,66,7075,20392,-0.0007439768788494699,-1.2546822600706715
67,67,3595,10302,0.0034625938180584148,-1.2513601724617525
68,68,2317,6461,0.0021610417235692707,-1.2578599395770393
69,69,1030,2982,-0.0023262646628252424,-1.2555683009708738
70,70,3740,10792,-0.005910004899037433,-1.2550693903743317
71,71,5747,16916,-0.0010972558989089962,-1.2508620236645207
72,72,5517,16855,0.005435189404816567,-1.2504467246692041
73,73,1582,4796,-0.0037819966009860935,-1.2651987800252844
74,74,2080,6122,0.006812887300048077,-1.2637054711538462
75,75,8414,23569,-0.0006556254895305443,-1.2545319396244357
76,76,2141,5484,0.00020952414605791687,-1.2601739327417094
77,77,4371,12346,-0.002057126940059483,-1.253519675131549
78,78,3745,10909,0.001002145983012016,-1.260618611481976
79,79,3985,11159,-0.0020762665587979925,-1.2581396712672523
80,80,14634,42481,-0.0019898372519986333,-1.25785573869072
81,81,14235,41139,-0.0009594938699290481,-1.253238077274324
82,82,11412,32697,-0.0022968570892140205,-1.2601510234840518
83,83,4619,13165,-0.0007180731501558779,-1.253795453561377
84,84,9910,28361,-0.0002555711067902119,-1.253436942482341
85,85,11137,31578,-0.0017132141446817813,-1.2524726335637963
86,86,7218,20669,-0.0037518180845940705,-1.2577368107509006
87,87,7971,23385,0.0013030285930385147,-1.260478040396437
88,88,3994,11918,-0.0056378539049824735,-1.267212834251377
89,89,3612,10967,-0.006972279190490033,-1.2516963704318937
90,90,5001,13817,-0.0016010520255009,-1.2594565686862627
91,91,1544,4357,-0.004347450616839378,-1.2580784391191708
92,92,3141,9243,0.0031009401862718876,-1.2569801655523718
93,93,1686,4824,-0.0035026620338790035,-1.2474134756820876
94,94,9294,26181,0.000537373003413385,-1.251837467183129
95,95,3616,10309,-0.004504534916092367,-1.2496268888274336
96,96,7726,22474,0.005017596164167745,-1.255533277245664
97,97,13599,38542,-0.002738706732293551,-1.2596635348187368
98,98,6911,19518,0.007899784580410938,-1.2553118694834322
99,99,5063,14600,0.00454465723095793,-1.2442704957535058
100,100,2511,7317,0.004668909035308642,-1.2485646833930704
