step,event,collected,total,x,y
1,1,2415,7211,-0.0005422996037971014,-0.04767616646327122
2,2,4263,11930,-0.0022848371524513255,-0.05251959062671593
3,3,9016,25124,-9.019911829414374e-05,-0.05568575265789707
4,4,3330,9717,-0.00021553551285075073,-0.05468001750374775
5,5,10194,29003,7.230851851873653e-05,-0.04039072049287326
6,6,1973,5639,0.0015949208885605677,-0.05328830344004055
7,7,5428,16114,-0.004456575699771555,-0.04896655012201547
8,8,10354,29300,0.0010419612344701565,-0.0500060138650763
9,9,6101,17394,-0.0019769619789783643,-0.04905568954038682
10,10,6827,19498,0.0012793602209726087,-0.04863497763679508
11,11,2561,7411,-0.004738481506559937,-0.05287033672397501
12,12,4763,13719,-0.00453710099552173,-0.05301338825194205
13,13,9063,26218,0.004563633263844091,-0.046974236462639304
14,14,2402,7060,0.0034277148106203166,-0.054467144658201495
15,15,4347,12014,0.00037241230877386696,-0.04316190261306649
16,16,6769,19787,-0.003778506663702172,-0.05328637567484119
17,17,1102,3279,0.0010858386265880217,-0.047906455228675135
18,18,19575,55658,-0.004905601041959642,-0.05607939226676373
19,19,5294,15111,0.003308329421567813,-0.05406951632621836
20,20,3034,8581,-0.0007366041973005933,-0.04951177592056691
21,21,2071,5977,0.007388445041318204,-0.044127902885465954
22,22,18403,51796,0.0010522290242595772,-0.04975289495412161
23,23,2807,8200,-0.004590863102760955,-0.047684053358389746
24,24,4300,12693,0.0009884287973790699,-0.05110813879833023
25,25,3542,9419,-0.0028556302858554487,-0.04898804175522303
26,26,1886,5444,0.0011287426513255567,-0.044746620291622484
27,27,12880,36903,-0.000283934447181677,-0.05134359304012422
28,28,3517,9715,-0.0001977812875120842,-0.05538350430679557
29,29,10682,30261,-0.001214632866860513,-0.05670880744700431
30,30,3896,10994,0.0006102937970995894,-0.05055589151283368
31,31,1460,4271,-0.0008022114039726027,-0.05528964865410959
32,32,4668,12689,0.00544536860508569,-0.0473342204296251
33,33,3988,11574,0.0005743494997943831,-0.05392305153109328
34,34,5016,14070,-0.0047481555485645935,-0.05459313151251993
35,35,2478,6950,0.007483592018688459,-0.06045337493946731
36,36,3716,10027,0.005541934812486544,-0.05389328166038752
37,37,10791,30442,0.0002273857579195626,-0.04624581390015754
38,38,4710,13795,0.0017691208855031848,-0.051689240587239914
39,39,5881,17663,-0.001472372305905458,-0.048905204681470665
40,40,2060,6237,0.004286053411771845,-0.049722297560097085
41,41,10466,30225,0.0002537159095197783,-0.048712820933508504
42,42,3868,10873,0.0006012485949017579,-0.047177352132445706
