step,event,collected,total,x,y
1,1,2907,8484,4.521757175782594,0.0022887633534571725
2,2,4816,13731,4.516127105481728,-0.0020910439221760798
3,3,10603,30711,4.520118042063567,0.0023026925494294068
4,4,5159,14814,4.5168080829618145,0.002394561761311882
5,5,1214,3642,4.516856400329489,-0.0031385004415403622
6,6,20616,59276,4.518214248641832,0.0012370709111770954
7,7,4819,13748,4.522443585806184,0.0014512657025689977
8,8,16865,47255,4.521243782389564,0.006571287844544916
9,9,10139,28702,4.521910372817833,0.0012143429618078705
10,10,6591,19378,4.513212753755121,-0.0050893933012591715
11,11,6426,18013,4.51900745253657,-0.003914405067882041
12,12,4958,14242,4.51981650665591,-4.594066390278336e-05
13,13,5374,15530,4.51583247860067,-0.003760043973836993
14,14,1663,5135,4.52169892363199,-0.005663643865784726
15,15,12147,34217,4.518302552893719,0.00043250514043442827
16,16,21262,61656,4.518551858244756,0.0013514930045500423
17,17,5794,16344,4.518288553676217,0.001187160943803935
18,18,5224,14827,4.513557819678407,0.0026127986371822357
19,19,19539,56733,4.521297778289575,0.002558050027537745
20,20,9658,27231,4.513115745495962,0.0012853754802195072
21,21,7277,20910,4.520258913013604,-0.0006720280308107737
22,22,3954,11318,4.522813889731917,-0.006480684177498735
23,23,7243,20844,4.521451224630678,-0.005304722863923789
24,24,12358,36395,4.517250528402655,0.002597412694361547
25,25,1396,3877,4.518331246418338,-0.0035110378118194843
26,26,25297,72354,4.516847505633079,-0.0029945612121255486
27,27,8140,23495,4.522743173218673,0.0019260696872346438
28,28,1496,4409,4.516337493315508,0.005526333989104279
29,29,686,2101,4.534339358600583,0.003925084015495627
30,30,9552,26833,4.5224474926716915,-0.001782270973208438
31,31,6817,19064,4.511960743728913,-0.005100444394917119
32,32,31724,90118,4.514040986949944,-0.001778056091874732
33,33,8224,23470,4.507240085116731,0.006793920497270184
34,34,10767,30867,4.523696022104579,-0.002455621940402155
35,35,16712,47479,4.5200312673528,-0.0012342909110509813
36,36,10748,30305,4.517710356345367,0.001155282518697432
37,37,13545,38978,4.518892354374308,-0.0026440501667449245
38,38,6007,17054,4.524555505243882,-0.0016295402230198102
39,39,4854,14110,4.509569987639061,0.0017793932239843428
40,40,5108,14243,4.521125567736884,-0.0013339946200000001
41,41,7885,21921,4.51330031071655,0.008065001630197844
42,42,23009,65622,4.514748740058238,-0.020556504037141772
43,43,30019,85983,4.518048879709517,-0.00268108473997335
44,44,8750,24300,4.517846993142857,-0.0012624232519990856
45,45,14407,40773,4.5190121815783995,0.0002065063274041091
46,46,12651,35843,4.52340961900245,-0.004014917316451276
47,47,7290,20194,4.52635980521262,0.00013905374369958844
48,48,2567,7627,4.519047362680172,-0.0030831898245379822
49,49,4855,14016,4.507709046343975,0.014405505226280122
50,50,4364,11818,4.513491054078827,0.0007418316198212649
51,51,2966,8459,4.516146281186784,-0.002788375116284558
52,52,8698,24871,4.51728094159577,0.0035108146485494365
53,53,7765,21470,4.521559365099807,-0.005528889069700708
54,54,9299,26496,4.520575355414561,-0.0030600465205355416
55,55,3185,9293,4.514465648351648,-0.0004973909423861853
56,56,3137,9093,4.518810854319414,0.004072327575486133
57,57,24492,70248,4.516160264984485,-0.002096566693192471
58,58,3332,9204,4.522355759303721,-0.005698771822088835
59,59,3990,11728,4.514136488721804,-0.004671738602165414
60,60,3087,8373,4.523881512795594,0.0038047095473922902
61,61,5554,16308,4.520067380266474,-0.0025171347862153405
62,62,13318,38992,4.519235422736147,-0.0036543880623922513
63,63,2743,7829,4.51078711994167,-0.002850293745038279
64,64,2867,8023,4.523366236484129,0.0033606109794244855
65,65,8580,24008,4.513240627039627,-0.002297878805156177
66,66,4742,13554,4.5192413074652045,-0.004482566679881906
67,67,28411,81333,4.522327768117982,-0.002754273264378586
68,68,7821,22260,4.515073098069301,-0.0004672186715675745
69,69,9125,25704,4.519351241643836,-0.00326161408219726
70,70,3401,10116,4.510855686562776,-0.0042702544796148195
71,71,4732,13261,4.510811371513102,-0.0009432847132628909
72,72,3730,10556,4.5260096809651476,9.361230943431636e-05
73,73,8823,25570,4.517234124447467,-0.0016717397021421285
74,74,5331,15294,4.5217346914275,-0.0004484582407334459
75,75,15654,46264,4.518665368595887,0.0008210258264392488
76,76,3443,10068,4.517476810920709,0.008249593081905315
77,77,14139,41369,4.516574667232478,-0.004123724210739091
78,78,1839,5126,4.522641049483415,-0.002504859947862969
79,79,1851,5187,4.512261204754187,0.0007571817224472177
80,80,2750,7380,4.519292810909091,0.0030463593094145454
81,81,11837,34178,4.518283216186534,-0.0005053261912739714
82,82,4161,11685,4.522583299687574,0.009400965801393896
83,83,13618,38908,4.525318848582758,-0.001536369797281539
84,84,13789,40942,4.516859556893176,-0.0011816560553593444
85,85,12433,36423,4.5180974728545,0.0020972008205181938
86,86,14806,42114,4.5166207902201805,-0.006227572477320816
87,87,6664,18646,4.51987918667467,-0.003648053700015006
88,88,6898,19425,4.524935864018556,-0.001221822638400986
89,89,6761,18580,4.519393030616772,0.0013402625228960212
90,90,4483,12842,4.5136400780727195,-0.0008526224232054428
91,91,2642,7099,4.5179856093868285,-0.001670507347350492
92,92,806,2388,4.532990967741935,0.005336289714143921
93,93,8789,25239,4.5196236545682105,-0.0008765188668745023
94,94,3345,9597,4.513908089686098,-0.004500141580875934
95,95,18645,53064,4.520417949584339,-0.0027524755381710913
96,96,10627,29702,4.519750073397948,0.0025425196937809355
97,97,6023,17171,4.5217510576124855,0.0015038609145643367
98,98,13676,40396,4.51561467095642,-0.0027192961975050453
99,99,723,1920,4.525212323651452,-0.014804566088326419
100,100,2774,7362,4.509174664744052,0.003081826246899784
