step,event,collected,total,x,y
1,1,4222,12043,-0.0016416366468782568,0.0014930345412955944
2,2,24742,70826,0.0009438161740231186,0.00028132510197558804
3,3,4757,13557,-0.0009201816124027749,-0.009012653966752155
4,4,7110,20673,0.002622009300493671,-0.0009517305805185654
5,5,9586,28186,0.0014122034921948674,-0.0037911960330638435
6,6,6482,18717,0.002735076812376273,-0.006038865544546436
7,7,10460,30204,0.0016225840104894837,0.0007388378194015296
8,8,3724,10405,-0.003958712473286789,0.003395600930424275
9,9,5650,16824,-0.0005777680391433629,0.0025479005764371685
10,10,7199,19990,-0.0032581763117538547,0.002281947098603973
11,11,7013,19924,-0.0019064619487295022,0.0007108956537287894
12,12,55423,158783,-0.0031437509195099867,-0.0005896631651305415
13,13,11659,33407,0.0059398336389687965,-0.004248438540792521
14,14,8872,26103,0.0024181549719048696,-0.002568551138555005
15,15,7156,20472,0.0011990084186486864,0.0003132452149077697
16,16,15090,42358,-0.0016397387371897946,-0.0003800132271351888
17,17,1461,4232,4.979330390143728e-05,0.0007024378418206709
18,18,6382,18230,-0.0012617504263020998,-0.003933547374843309
19,19,11009,32517,-0.005033357640049051,-0.0015132434367181398
20,20,3780,11106,-0.004607332747669312,0.0005619223559656085
21,21,16790,48759,-0.002995374907461346,0.0019239145186444313
22,22,4074,11850,-0.002826883269849288,-0.0032262495409892
23,23,6811,19154,-0.0013095385616399941,-0.00657570188589928
24,24,20137,57712,-0.0010484142664005066,-0.0011726382327701245
25,25,8627,24478,-0.001022859743090298,-0.0027966274707511302
26,26,12626,36150,-0.0009643336130651037,-0.004401154026200697
27,27,8461,24224,0.0010450598275369343,-0.004945232594186267
28,28,4392,12909,0.003662964721855647,-2.4481645901639362e-06
29,29,6000,17688,0.0042849333412833335,-0.0009157992067166667
30,30,5375,15219,0.0015303499761767443,0.004148640939899535
31,31,13189,37547,0.00134363220802032,-0.00012628744472044885
32,32,4028,11335,0.001747393261497021,0.006253388092385799
33,33,6309,17421,0.0009745351817467111,0.0011601841967792043
34,34,5808,16944,-0.0011188914312620524,0.00042008360209194214
35,35,5195,15379,0.005359883277136093,-0.0042257894573695855
36,36,4776,13438,-0.003889612893855946,-0.0012848008062039363
37,37,11827,33833,0.0013444795963388856,-0.0009777542968842478
38,38,26138,75201,-0.025638208581593085,0.013476080858122274
39,39,4162,11903,0.00028388678801297455,-0.0029084345238226815
40,40,3968,11376,0.004507021730269657,-0.007377932008867465
41,41,2264,6467,-0.0016342228062455832,0.002887588141683304
42,42,9203,26914,0.0029391719147638814,-0.0012124222815223296
43,43,1526,4432,-0.0009763708501965925,-0.0013936023960268674
44,44,8946,25509,-0.0028139186703006933,-0.0008246951914911692
45,45,4754,13527,0.00552360219615061,0.010009639024589819
46,46,6972,19846,-0.0021234680636125934,-0.003156746378098107
47,47,12761,36829,-0.0035266931512706683,0.006645307991716167
48,48,3031,9013,0.006772492473276147,-0.0006035843782580007
49,49,5379,14986,0.0004744351909072318,-0.0035156285701003903
50,50,7812,21751,0.0033330286489133385,7.278554317332307e-05
51,51,13203,38171,-0.0033272490689449366,-0.0004099028265909263
