step,event,collected,total,x,y
1,1,3219,8873,0.006189283458213731,-0.002295773376356011
2,2,22123,62271,-0.0003594637326132079,-0.004775280304409438
3,3,3498,9368,0.0018648148611778157,-0.0032067605744425386
4,4,4151,12428,0.0006300093732630691,-0.0001812553459937364
5,5,1319,3691,0.005277287762926459,-0.004681562124533738
6,6,10335,29666,0.00023906721281761003,0.00039953476504305755
7,7,7376,21358,0.004170377515107104,-0.0006985976372966378
8,8,10805,30828,0.0012835694567977789,-0.0009982159675354003
9,9,7990,22031,0.0055522481811639554,-0.0020546379996620777
10,10,3112,8393,0.0027370308454402314,-0.012154454148401992
11,11,14226,41175,8.177758002741458e-05,0.001094797282962182
12,12,1174,3050,0.002064324966524702,0.005386543167206132
13,13,3733,10831,0.00023999762009107957,-0.005901946879732119
14,14,4660,13530,-0.0059704589427596565,0.003168000657130901
15,15,7630,22084,-0.0057325329359829615,-0.0030785148512756226
16,16,3529,10419,0.0031926614971858882,-0.007093138036633607
17,17,3157,8805,-6.233692777953752e-05,-0.00949407198422553
18,18,1201,3458,-0.00213953641265612,-0.0019580711066611157
19,19,2562,7166,0.006191025079937549,0.00042969977180327875
20,20,3387,9643,0.007607091416687334,-0.0022177426521080602
21,21,4791,14006,0.0017931276521978708,-0.001311881969526195
22,22,3755,10871,0.0036761335696218374,0.0035871356457994677
23,23,1891,5499,0.0031152288839450025,-0.005646607879640403
24,24,1613,4563,0.008081895091754495,0.0038399480202727836
25,25,79127,227025,0.038857075872251824,0.01652453583734735
26,26,14230,40621,-0.0006852562414005623,0.0017661587974237526
27,27,17625,50885,-0.001864001609201475,0.001061472873276085
28,28,6610,19086,0.004322565268287443,0.00020859736208320726
29,29,5111,15354,-0.004230943470045001,0.005698399492943455
30,30,5779,16465,0.003741753274395224,-0.0007241293977435544
31,31,18836,53852,-0.00046437277028185393,-0.0022728329650482056
32,32,7741,21524,0.002378804021816432,0.006277877121735047
33,33,10212,29678,-0.001244212541879064,-0.0007402945206208382
34,34,1580,4423,0.002822402694113924,0.0014610722350569619
35,35,4857,14618,-0.0056695817417171095,-0.005635519859415277
36,36,5516,15949,0.0026693347996918056,-0.0008519592862164612
37,37,5875,17409,0.001674345139466553,-0.0025391967934297872
38,38,2069,5902,0.0044005924601933305,0.0018211787053165778
39,39,14944,43274,-0.0013029034969164882,-0.003031429859452489
40,40,4755,13542,0.002111626429997897,-0.0008459514189271714
41,41,7342,21418,8.148866106101878e-05,-0.004043992538119041
42,42,4177,11999,0.0014606585079243476,0.0028951063358199666
43,43,2820,8320,0.00500315482429078,0.004384249837932624
44,44,5544,15744,-0.0026270697896093073,0.00016091249311453822
45,45,2296,6097,0.0023884153231489547,0.0013569202677134148
46,46,6404,17926,0.006648801986147096,0.008870759587820113
47,47,2722,7701,0.008987304590598825,0.00818259613117928
48,48,1325,4157,0.0011450768185056605,0.008084252957433962
49,49,19608,56042,0.0002674753187545899,-0.001692965801380049
50,50,14629,42531,-0.0001991007052368583,0.0033131363392193587
51,51,5780,16217,0.030434410523526644,0.07807505324804498
52,52,7689,21790,0.0020332602139919885,0.0028019101399362725
53,53,3778,11102,0.005569594603437004,-0.0005875611816966649
54,54,5756,16870,0.00448204791747533,0.003350787675972898
55,55,2961,8552,-0.0011143076160418778,-0.0029870055557244175
56,56,15739,46062,-0.00151612909040927,-0.002889606267320033
57,57,5027,13662,-0.005641227823680127,0.003378813993942709
58,58,3924,11573,0.00013662382405377164,0.0007238207354408766
59,59,23085,66701,0.0028165352628117396,0.005295998955006021
60,60,14093,39825,-0.005263978867139715,-0.00020890620754984745
61,61,30313,88618,0.0031250249338863525,-0.0014603820903972883
62,62,8450,24180,0.0009765282390368048,0.0018317260392118342
63,63,4708,14025,0.0011168844606605777,-0.0046969280816546305
64,64,11384,33468,0.0009635493095607871,-0.0020864297689529164
65,65,30096,88371,-0.0007083043046773658,0.0012447263178018341
66,66,9724,28071,0.0024506463539284247,0.0004948560744960921
67,67,24977,72301,-0.004857465474526164,-0.002066652849778396
68,68,2660,7640,-0.0019889536144360905,0.0006921309661654135
69,69,4724,13169,-5.598066534017781e-05,0.0010576741934356477
70,70,10765,31209,-0.003337998062158848,-0.0007153710759721319
71,71,19704,55751,0.0006337021072780654,0.0017968993479292022
72,72,3458,9835,0.003464453113603239,-7.253535041353381e-05
73,73,19446,56002,0.004887873072368508,0.0005327967737119972
74,74,4554,13198,0.0025960617554501536,-0.0009176723390228372
75,75,7500,21569,0.00030528395466706664,-0.00272726494764
76,76,20681,58646,0.002299884950249021,0.003232678117445578
77,77,5923,16675,0.0006935102094529799,0.004215852434730711
78,78,2223,6157,-0.00011627158484030586,0.005993992923675214
79,79,5496,15428,0.007225665186335517,0.004609175021162664
80,80,3079,8710,0.0005968469115492043,0.0003839678548554726
81,81,8285,24034,-0.0029040769942957154,-0.002733278678477972
82,82,10141,29541,0.0004851938146092102,0.0015474992178029778
83,83,7366,20437,-0.0037929321567689387,-0.0025902923093601682
84,84,21347,60301,-0.0005683728263175154,0.004178894557572961
85,85,4649,13159,0.008291667377261131,0.0021330922371649817
86,86,5618,16590,0.001463001973515486,0.009803531188376647
87,87,7328,21671,-0.0036392684179462334,-0.0005685227875914302
88,88,1910,5341,-0.005609096125246074,0.0010608136379580105
89,89,7980,22724,0.005166284703949874,0.0012603771578784462
90,90,2681,7839,0.006665383226475195,0.007257453380082059
91,91,9872,28660,0.002999375774556321,-0.004629358178802674
92,92,5972,16695,-0.0064301481286286,0.0035248565306262554
93,93,6981,20045,-0.00267340550159003,0.0024409285691749036
94,94,12485,34741,0.00028158556053664395,0.0023215967154905886
95,95,6763,19133,0.003005471012255508,0.001837989616649416
96,96,2369,6916,0.0036313929439594768,-0.0010680348436850993
97,97,6703,19158,0.008413174832739073,-0.0021726556241354615
98,98,9455,27533,0.003365667133934426,0.0007414022589482814
99,99,15462,45142,-0.002326932538637951,-0.0005216566741903376
100,100,3502,10111,-0.0018976176442661336,0.0026313329386921758
