step,event,collected,total,x,y
1,1,7453,21540,0.003896576597070187,-0.004042980143128942
2,2,14120,40019,-0.005306702973298159,0.0016626194438866856
3,3,18608,53509,-0.0015990539880568035,-0.005290057942061479
4,4,11615,33495,-0.0014645832217589324,0.0033067444552216958
5,5,3337,9431,-0.0021038641963620017,-0.0013563294990410549
6,6,8734,24804,-0.0023373289717346004,-0.0015649310601774673
7,7,2407,6887,-0.01023957921003739,-0.0007009580097216453
8,8,6836,18985,-0.0015472191665476887,-0.0027106456919324166
9,9,6693,18890,-0.002853182110500224,-0.00219024888038996
10,10,3635,10413,0.00998401863570564,0.01069438535544154
11,11,2852,8323,-0.0006061709562903226,0.00035194633829242636
12,12,4273,12230,-0.001160171739644278,0.0007328565362850456
13,13,7834,22363,0.00860603018329589,0.003909221950328058
14,14,5732,16762,-0.0011721297263311236,9.093019987090021e-05
15,15,10879,31129,-0.0028251833259398842,-0.005442521568545822
16,16,20976,61672,-0.006202525065538139,0.006766116174612891
17,17,2781,8118,-0.0014610056310679612,0.001146222404243078
18,18,5763,16506,0.0053890911165712305,-0.00661554199062641
19,19,4442,12504,0.0030135387418752813,0.0006739647488496173
20,20,5014,14276,0.0036259066441284406,-0.009456767850183486
21,21,2886,8379,-0.010668959081022176,0.001955263939050589
22,22,4936,13406,-0.00761964500629457,-0.0011653298736426256
23,23,4037,11314,-0.0010346528819593758,0.002928237687547684
24,24,3218,10115,0.0046798065671535116,-0.006163969139928527
25,25,2810,7633,-0.004803000210672598,-0.0014582518357508898
26,26,4636,13517,0.005254093449268766,-0.00310554382574849
27,27,1005,3060,0.003305025955522388,-0.004865630984975124
28,28,7182,20896,0.0013588702549011417,-0.007867834721477306
29,29,5927,16974,-0.004266220064422135,0.005342923785064957
30,30,4057,11350,-0.0023704244714567416,0.0029459533952772986
31,31,4649,13015,-0.002608663143955689,0.0043966238268530865
32,32,3214,8873,-0.0045338535656098316,-0.001240477766645924
33,33,18698,53744,0.0032914988682639854,0.001458948339432827
34,34,8826,24871,-0.03967089969239633,-0.0452280466742453
35,35,1451,4377,0.0031739209065334254,7.819082984148861e-05
36,36,4757,13677,0.00764546255509775,-0.0007042887903027118
37,37,3340,9438,-0.0031984695551197603,-0.0004844392075565868
38,38,2279,6579,-0.007747574555050461,-0.0009824269753400615
39,39,6957,20565,-0.008271512916658272,-0.005623680544786546
40,40,7212,20410,-0.0031718137441472546,-0.0034617450963796447
41,41,9354,26586,0.00035559947871819546,-0.0007032545446664528
42,42,6919,19057,0.0013112082426159851,-0.00934615659705865
43,43,29563,85777,-0.0028833011024496837,-0.0009675838111819537
44,44,17497,50443,-0.007690682853382866,-0.004559425632906555
45,45,9044,25522,-0.0013890392210467715,-0.0062520263008746125
46,46,4527,12626,-0.005132983008577424,-0.0008277709080516457
47,47,7480,21775,-0.0005461059173530749,-0.0025538789308609624
48,48,4665,12799,-0.0036946937077984997,-0.004226555728752412
49,49,11569,33879,-0.006121645182746132,-0.005875078582261388
50,50,7902,22935,-0.004003639404738927,0.0011708237348873702
51,51,4096,12225,-0.003396470829250488,-0.003612964363347168
52,52,23280,66943,0.0011309128969137887,-5.299589358333333e-05
53,53,5427,15450,0.004196362410398009,-0.0019139326515386032
54,54,6945,19838,-0.005437993298329734,-0.0016220168864924406
55,55,7898,21753,-0.002178024969769182,0.001676103015663459
56,56,3285,9848,-0.0015301519357016743,0.005681455164474886
