step,event,collected,total,x,y
1,1,4681,12565,-0.053060657314889986,-0.002519763794900662
2,2,2533,7848,-0.05022492356719305,-0.0033054835606462695
3,3,7533,21217,-0.05287141376139652,9.693208130757996e-05
4,4,1388,4424,-0.04738415904034582,-0.0042240320699423635
5,5,3638,10447,-0.05066111375233645,0.0036374289190874106
6,6,4349,11557,-0.05743939614141182,-0.005082162178528397
7,7,2446,7050,-0.05583507289329518,0.013896577220956665
8,8,20017,57252,-0.048059122378358396,-0.0010630451937048509
9,9,7232,20365,-0.05236468468586836,0.0015312546203705753
10,10,2869,8059,-0.062257398147891246,0.0015947665439525966
11,11,8261,23461,-0.05424648386769156,0.005223003783440262
12,12,2348,6214,-0.04009851003695059,-0.00496194729359029
13,13,4941,14111,-0.05365095355863792,0.0047734348362578425
14,14,302,844,-0.06365751059602649,0.004457029246688742
15,15,42254,121858,-0.048175247117352916,0.004118568008320774
16,16,2641,7326,-0.046979369923173045,-0.004448733244131011
17,17,3294,9482,-0.04794982328536733,-0.001714574234911961
18,18,10026,28123,-0.047304935108168765,0.005381648143691403
19,19,6200,17505,-0.049160783658162906,0.0029052931129258065
20,20,4485,13369,-0.0485823680683835,-0.0034298875741114827
21,21,3709,10197,-0.04809655073081693,0.00316854655538447
22,22,8116,22426,-0.05546244478300887,0.002316028579513307
23,23,2694,8000,-0.04495527139005568,0.0033291132230141057
24,24,12846,36921,-0.05127628508603456,-0.0010133074494799938
25,25,1402,4188,-0.05881156220256775,-0.0030883075326676177
26,26,5657,16257,-0.0476699272189323,0.0016312273806151673
27,27,1092,3153,-0.046949438208065936,-0.00047351779679487174
28,28,4400,12166,-0.054232968518409086,-0.0010463393692727273
29,29,2768,7910,-0.04805378754920521,0.007298638036831647
30,30,5161,14594,-0.04538646531023057,-0.002353018587455919
31,31,14767,43128,-0.048168907152808964,-0.003453243457310219
32,32,14380,41593,-0.04822750211002086,-0.0051320074596077885
33,33,2959,8113,-0.06308756840013519,-0.0010894789299966206
34,34,13689,39081,-0.051229429620863465,0.0018143697833546643
35,35,14348,40557,-0.047786784477076946,0.002674898958345414
36,36,13458,38811,-0.048914037451627285,-0.0010263158671845742
37,37,13369,36948,-0.05199418971118259,0.002013457682438477
38,38,15163,43941,-0.05008905378644068,-0.004227938840183341
39,39,4936,13907,-0.05098837245603728,-0.004917037354360008
40,40,8985,25887,-0.04773596070559822,-0.005242058865786923
41,41,7441,20994,-0.05260844161349281,0.002647094106859293
42,42,2255,6632,-0.05121630614323725,-0.0023429791394235034
43,43,8400,23975,-0.04542660867607143,0.0016491737621319048
44,44,9798,26940,-0.05022938220065319,0.003119161765516432
45,45,14067,40244,-0.05495296800548091,0.0011915918469955925
46,46,7060,20538,-0.053419139113512745,-0.006946722544167138
47,47,5608,16276,-0.04401348160703994,-0.004140355897075607
48,48,7746,22129,-0.04495973037277304,-0.005318807509024012
49,49,15180,43594,-0.05111833679156126,0.0015459561490217392
50,50,6252,17786,-0.053284518824376195,-0.00046065949077095326
51,51,493,1271,-0.04827688819472616,0.0026464352046653146
52,52,11007,32106,-0.050677569672285816,-0.0013452940842735531
53,53,3402,9806,-0.057238625928389186,0.0006623314701940035
54,54,6683,18813,-0.05026871336149932,0.012356938898663773
55,55,4998,14816,-0.05099425130758303,-0.002475881266422569
56,56,2761,8326,-0.046431156292321626,-0.0004905365617892068
57,57,5700,16439,-0.04866672694682281,-0.005400194257915789
58,58,3822,11113,-0.04811906150272109,0.0056413835078335944
59,59,4926,14090,-0.043681074031153067,0.003528418983907836
60,60,7205,20633,-0.05201048641868147,0.003229256966058293
61,61,7240,21035,-0.047772322174889505,-0.003746665807941989
62,62,8371,23849,-0.05160317107622124,0.002313893972367507
63,63,9540,27650,-0.049475382188160374,0.0023261240393438153
64,64,13427,40069,-0.07600524673535414,0.002834536708850823
65,65,5570,15769,-0.0533954966599641,0.0009801726099321363
66,66,6944,19656,-0.04789809657639689,-9.250375553139403e-05
67,67,4768,13170,-0.05033800228452181,0.0027866030957214762
68,68,2265,6412,-0.05269659982251656,0.0017437436197350992
69,69,2155,6454,-0.050196662207888626,0.0051468716079814385
70,70,5397,15813,-0.0479182038005744,6.240107549193997e-05
71,71,3909,11051,-0.05334811274822205,-0.0011794261587362498
72,72,8713,24457,-0.052951201315949735,0.004026210115741995
73,73,5945,16937,-0.04888247568380151,-0.003101571451623213
74,74,6638,18315,-0.048885522939680626,0.0015265679138443808
75,75,2636,7116,-0.04743431025595599,-0.00044332124089529595
76,76,11810,34664,-0.04621984342084336,0.0013661379675554614
77,77,18683,54077,-0.04747158769706953,-0.0021530152507124125
78,78,2921,8312,-0.055204594085655596,0.009149719504317014
79,79,4925,13985,-0.04784474490172589,0.0014702548396142133
80,80,2532,7473,-0.04982070893996841,-0.003677214239020537
81,81,4440,12498,-0.057726521464864865,0.012559087205306307
82,82,3566,10401,-0.045815311079949524,-0.0005643813004178351
83,83,445,1296,-0.050087699887640454,-0.0003983191685393258
84,84,16028,45598,-0.051360550553762166,-0.0012889690703025956
85,85,5119,14312,-0.0508116914586638,-0.0011871867630377027
86,86,5493,15541,-0.04973315530274895,-0.005134040823527945
87,87,2642,7608,-0.05044599561309614,-0.00800083075367146
88,88,9448,27264,-0.05065195331160034,0.0001796211198010161
89,89,1484,4287,-0.0491867376819407,-0.001305118230013477
90,90,3256,9592,-0.047249805854484024,-0.0015678688163083539
91,91,15460,44521,-0.05181835247201164,0.00028336152045627426
92,92,5224,15368,-0.052244600312634004,-0.0016702947799712862
93,93,14236,41411,-0.04962047848006462,0.0030549753429601014
94,94,7266,21704,-0.050111654019997245,-0.0004265491727203413
95,95,4751,13166,-0.05069489981898548,-0.0028672459343106714
96,96,8389,24630,-0.04867888861461438,0.002509403303003934
97,97,62943,181400,-0.04524478269572836,-0.005393930633430564
98,98,23337,67139,-0.05271731514626002,0.00018906554750889145
99,99,14928,42654,-0.04952060965156753,0.0006417295393843784
100,100,6502,18522,-0.04882387439498616,0.006980212567004152
