step,event,collected,total,x,y
1,1,2669,9378,0.12297650899213189,-0.004711739547845635
2,2,6198,22050,0.12285007208777024,-0.001615799549756373
3,3,311,1296,0.12868005659163986,-4.238694372990353e-05
4,4,795,2757,0.1242650031446541,0.004122066480377358
5,5,4331,16223,0.12303032018009698,0.0034515958751096744
6,6,7223,25507,0.12003279790945591,0.001384132417831926
7,7,139,428,0.12692489136690646,0.0016246915043165468
8,8,1464,5351,0.12256186331967213,-0.007695065093415301
9,9,823,2824,0.12319409100850547,0.004928220933171325
10,10,100,565,0.125434679,0.00191239839
11,11,1727,6484,0.1250848997104806,0.000546988209148813
12,12,2128,7383,0.12439652753759399,0.010462922457904136
13,13,2018,7310,0.12280897046580773,0.008136354516699704
14,14,2487,9394,0.12365643570566948,0.0012302778507840772
15,15,2497,8931,0.12170161425710854,0.0025620239075530636
16,16,3139,11736,0.12134205912711055,0.0005203398884166932
17,17,2608,9027,0.11880059651073618,-0.0024949537073197855
18,18,4851,17200,0.12114298660070089,0.003741553612366522
19,19,1106,4125,0.12337578218806511,-0.00045862829566907786
20,20,578,1965,0.12703541211072664,0.004268346397923875
21,21,4390,14836,0.12152526166287016,-0.0012887405127107062
22,22,2310,8264,0.12157925186147187,-0.006003818049610389
23,23,911,3451,0.1249043282107574,-0.011908952138199782
24,24,1724,6627,0.12274761687935035,-0.0069000781771461715
25,25,2086,7392,0.12041763326941515,0.00645936983542186
26,26,2300,7948,0.12204288486956523,-0.002696094546947826
27,27,1860,6804,0.12199034440860215,-0.011051978505317204
28,28,1194,4177,0.12371260887772194,-0.00014341066180904527
29,29,10227,36142,0.12123715615527525,-0.002402078492984844
30,30,787,2745,0.12431490393900889,-0.0021250751011435832
31,31,805,3089,0.1218651150310559,0.002354353227354037
32,32,897,3612,0.12769483166109252,-0.0022053094412486066
33,33,7966,30199,0.12422540433090636,-0.0003828485033398193
34,34,3637,12636,0.12167386972779763,-0.00018966749050041245
35,35,3220,11410,0.12256821916149069,0.0011306705782919255
36,36,2018,6701,0.11915434598612487,-0.001180127797879088
37,37,4226,14330,0.12286671807856128,-0.0003039619755040227
38,38,153,613,0.12597486339869282,0.01943926933986928
39,39,2640,9239,0.1234166440530303,-0.003470879884007576
40,40,4095,15467,0.12209225572649572,0.0050059781247545785
41,41,1012,3914,0.119471009486166,0.0039049204019762844
42,42,2034,7248,0.12285777359882005,0.000733911455653884
43,43,1964,6808,0.12169500829938901,0.00212583049101833
44,44,1903,6245,0.11825622737782449,-4.293609800840784e-05
45,45,2708,9066,0.12224248677991138,0.004526478044146972
46,46,2947,10207,0.12292494940617578,0.004918624737916525
47,47,1097,4398,0.1226421418413856,-0.004662201999544211
48,48,3776,13378,0.12177729872881356,-6.218917184322037e-05
49,49,2218,8171,0.12116528985572587,-0.014078861245085662
50,50,35711,119842,0.11916300716585926,0.017751371646976842
51,51,2566,9018,0.11907322505845674,0.002349227649947389
52,52,3791,12944,0.11930899709839092,0.004674854977523081
53,53,602,2368,0.12379478820598007,0.00710660705
54,54,3139,11622,0.12205725431666135,-0.0025913431619942655
55,55,865,3092,0.1277073314450867,0.005645094284855491
56,56,1302,4680,0.12307388003072196,-0.00035618089939324114
57,57,1709,6614,0.12688359888823872,0.003468883834248098
58,58,1116,4552,0.1256652082437276,0.0021787565914874554
59,59,1082,3701,0.12413782661737523,-0.007566369066414048
60,60,5204,18267,0.12099094765564951,-0.008011303182011913
61,61,2279,8017,0.12396224892496709,0.003964593454414217
62,62,1695,6677,0.12252214690265487,-0.0016739176566961654
63,63,2432,8997,0.12381622290296052,-0.002465902025230263
64,64,6035,21396,0.12244989647058822,0.00012252452492129246
65,65,3488,12376,0.12144206264334863,0.005556983921969611
66,66,124,641,0.12650021774193548,0.012376612869354838
67,67,2035,7500,0.1207537264864865,-0.006683115357474202
68,68,4283,15096,0.12337189227177212,0.005089103864195657
69,69,3641,13508,0.12403886146663005,-0.0040654454208733865
70,70,3639,13625,0.12389787081615827,0.004457853256215993
71,71,24004,81290,0.12004496588485253,-0.007476978182968421
72,72,8319,29807,0.12263251217694435,0.00039097966258564733
73,73,796,2860,0.12436231771356783,-0.003801736172487437
74,74,2747,10185,0.12080919042591919,-8.21724985183837e-05
75,75,3728,13096,0.12286592084227468,-0.002067798459042382
76,76,2245,7335,0.12091682908685969,0.009652755688877506
77,77,5197,17829,0.11781643342312872,0.0021458590312314796
78,78,6384,23208,0.12194032882205513,-0.0009872190656453634
79,79,1070,4248,0.12585913635514018,-0.0011035949169029907
80,80,2274,8231,0.12200309577836413,0.0024662443865347402
81,81,1269,4475,0.12317882387706856,-0.006108052779353822
82,82,1087,3843,0.12183225262189512,0.003000843479116835
83,83,785,2866,0.12304008038216561,-0.010236952487898089
84,84,3858,13440,0.12057179554173147,-0.001504145837803266
85,85,3292,11280,0.12147662466585661,-0.002428476835492102
86,86,2049,6867,0.12389272811127379,0.0024757467367008297
87,87,2667,9313,0.12042690783652044,0.0015509835118522684
88,88,732,2868,0.12482382199453552,-0.0015652437911202186
89,89,1092,3341,0.11880412225274727,-0.0016162248720695972
90,90,4471,14999,0.11973880176694252,0.006019900399704764
91,91,1386,5947,0.12594798722943723,0.0003476408175829726
92,92,2037,7885,0.12406400466372115,0.002501839604624448
93,93,1723,6013,0.12492047336041788,-0.002312889223830528
94,94,2035,7240,0.12417663832923832,0.0006159937614742015
95,95,1820,6762,0.12524678285714286,0.0006674976484065935
96,96,4761,16545,0.12074588325981936,0.002407376333814325
97,97,4024,13847,0.12099588320079523,-0.004039699485814861
98,98,5994,22087,0.12301577379045714,-0.0062363931306389725
99,99,3620,13839,0.12454967118784531,0.0016832790147348067
100,100,4322,15862,0.12136932859787136,0.003310773541732994
