Id,name,x,y,z,dx,dy,dz,v
1,574767095,0,0,0,0,-4.5,-500,0.994402
2,1178438889,0,-2.25815,-2.50906,0,-4.5,-500,0.994402
3,230211345,0,-4.51631,-5.01812,0,-4.5,-500,0.994402
